First,Last,Action,Event ID,Event Name,Ticket Quantity,Ticket Type
Arim,MartinDelCampo,Buy,45,UTEP Wind Symphony 1,6,Silver
Pluto,Disney,Buy,53,UTEP Wind Symphony 9,3,Silver
Justin,Hawkins,Buy,50,UTEP Wind Symphony 6,2,General Admission
Darren,Gibbs,Buy,9,UTEP Football 9,2,Silver
Irvin,Arredondo,Buy,18,UTEP Basketball 5,3,Bronze
Michael,White,Buy,9,UTEP Football 9,5,Silver
Aurora,Disney,Buy,17,UTEP Basketball 4,4,General Admission
John,Davis,Buy,50,UTEP Wind Symphony 6,2,General Admission
Alan,Robles,Buy,60,Ariana Grande Live,4,General Admission
Andrew,Torres,Buy,65,Warped Tour Day 1,5,General Admission
David,Gardner,Buy,29,UTEP Basketball 16,6,Silver
Ashley,Walker,Buy,16,UTEP Basketball 3,4,VIP
Brittany,Ray,Buy,6,UTEP Football 6,6,VIP
William,Evans,Buy,55,UTEP Wind Symphony 11,6,General Admission
Michael,Nunez,Buy,41,UTEP Basketball 28,5,VIP
Stephanie,Perry,Buy,15,UTEP Basketball 2,3,Gold
Shelly,Jones,Buy,63,Lady Gaga Live,3,Bronze
Michael,Robinson,Buy,6,UTEP Football 6,3,Silver
George,Wood,Buy,62,The Weeknd Live,3,General Admission
Alexander,Cameron,Buy,61,Justin Bieber Live,5,Gold
James,Pittman,Buy,34,UTEP Basketball 21,4,VIP
Deanna,Cummings,Buy,25,UTEP Basketball 12,3,Silver
Renee,Zimmerman,Buy,45,UTEP Wind Symphony 1,4,VIP
Terrence,Dixon,Buy,13,UTEP Football 13,5,Silver
Stephen,Ellis,Buy,19,UTEP Basketball 6,2,General Admission
Jacob,Contreras,Buy,48,UTEP Wind Symphony 4,3,VIP
Shannon,White,Buy,27,UTEP Basketball 14,6,Bronze
Peggy,Murphy,Buy,46,UTEP Wind Symphony 2,2,General Admission
Michael,Prince,Buy,45,UTEP Wind Symphony 1,2,Gold
Marissa,Oconnell,Buy,42,UTEP Basketball 29,2,Silver
James,Hammond,Buy,1,UTEP Football 1,5,Gold
Amber,Nguyen,Buy,21,UTEP Basketball 8,2,Silver
Douglas,Bryant,Buy,46,UTEP Wind Symphony 2,6,Gold
James,King,Buy,28,UTEP Basketball 15,3,Bronze
Marissa,Henry,Buy,17,UTEP Basketball 4,3,Silver
Jose,Farley,Buy,46,UTEP Wind Symphony 2,3,Silver
Jason,Skinner,Buy,37,UTEP Basketball 24,6,Silver
Ryan,Peterson,Buy,14,UTEP Basketball 1,6,Gold
Gabriel,Hansen,Buy,21,UTEP Basketball 8,3,Gold
Jacob,Gonzalez,Buy,48,UTEP Wind Symphony 4,2,General Admission
James,Nolan,Buy,71,UTEP Commencement 3,3,General Admission
Anthony,Moore,Buy,18,UTEP Basketball 5,3,Gold
Michael,Mccormick,Buy,14,UTEP Basketball 1,2,Silver
David,Cox,Buy,29,UTEP Basketball 16,2,Bronze
Dannell,MunozSilva,Buy,26,UTEP Basketball 13,5,Gold
Dakota,Harper,Buy,45,UTEP Wind Symphony 1,2,General Admission
Heather,Robbins,Buy,57,Taylor Swift Live,6,General Admission
Lee,Burke,Buy,23,UTEP Basketball 10,6,Silver
Chris,Holden,Buy,11,UTEP Football 11,3,Gold
Amber,Long,Buy,32,UTEP Basketball 19,4,VIP
David,Harvey,Buy,5,UTEP Football 5,5,General Admission
James,Simpson,Buy,39,UTEP Basketball 26,5,Gold
Bradley,Rodriguez,Buy,33,UTEP Basketball 20,5,VIP
Edward,Molina,Buy,26,UTEP Basketball 13,2,General Admission
Angel,Coronel,Buy,1,UTEP Football 1,2,General Admission
Gaston,Disney,Buy,43,UTEP Basketball 30,6,Silver
Sheila,Lewis,Buy,10,UTEP Football 10,6,Gold
Kevin,Scott,Buy,23,UTEP Basketball 10,2,General Admission
Kylie,Summers,Buy,59,Eminem Live,3,VIP
Carlos,Cepeda,Buy,71,UTEP Commencement 3,6,VIP
Sarah,Stanton,Buy,65,Warped Tour Day 1,2,General Admission
Emily,Richardson,Buy,26,UTEP Basketball 13,2,Gold
Eric,Ramos,Buy,21,UTEP Basketball 8,5,VIP
Michael,Thomas,Buy,50,UTEP Wind Symphony 6,4,Silver
Luis,Johnson,Buy,54,UTEP Wind Symphony 10,5,Silver
Michael,Cowan,Buy,24,UTEP Basketball 11,2,General Admission
Colleen,Sanchez,Buy,60,Ariana Grande Live,6,Silver
Susan,Alvarez,Buy,41,UTEP Basketball 28,3,Gold
Zachary,Tran,Buy,31,UTEP Basketball 18,5,General Admission
Pablo,Martinez,Buy,21,UTEP Basketball 8,6,Silver
John,Jones,Buy,15,UTEP Basketball 2,3,Silver
Timothy,Greene,Buy,50,UTEP Wind Symphony 6,2,Silver
Michael,Thomas,Buy,42,UTEP Basketball 29,4,Gold
Daniel,Foster,Buy,19,UTEP Basketball 6,5,VIP
Michael,Fox,Buy,37,UTEP Basketball 24,6,VIP
Mary,Grant,Buy,21,UTEP Basketball 8,6,Silver
Amanda,Johnson,Buy,30,UTEP Basketball 17,6,VIP
Jason,Skinner,Buy,20,UTEP Basketball 7,6,General Admission
David,Wright,Buy,20,UTEP Basketball 7,6,Bronze
Alexandra,Simpson,Buy,36,UTEP Basketball 23,5,Gold
Sarah,Stanton,Buy,34,UTEP Basketball 21,5,Silver
April,Lopez,Buy,64,Justin Timberlake Live,3,VIP
James,Watson,Buy,65,Warped Tour Day 1,4,General Admission
Michelle,Wood,Buy,4,UTEP Football 4,2,VIP
Gregory,Short,Buy,63,Lady Gaga Live,6,VIP
Paul,Salas,Buy,61,Justin Bieber Live,3,Gold
Rodney,Berg,Buy,19,UTEP Basketball 6,4,Bronze
Daniel,Romero,Buy,68,UTEP Commencement 1,6,General Admission
Simba,King,Buy,9,UTEP Football 9,3,General Admission
John,Hansen,Buy,11,UTEP Football 11,2,Silver
Bradley,Rodriguez,Buy,14,UTEP Basketball 1,5,Gold
Gaston,Disney,Buy,38,UTEP Basketball 25,3,VIP
Ricardo,Rodriguez,Buy,46,UTEP Wind Symphony 2,5,Bronze
Thomas,Clark,Buy,67,Warped Tour Day 3,4,VIP
Andrew,Parks,Buy,63,Lady Gaga Live,4,Gold
Alyssa,Poole,Buy,64,Justin Timberlake Live,5,Bronze
Olivia,Richardson,Buy,67,Warped Tour Day 3,3,Bronze
Wesley,Lambert,Buy,53,UTEP Wind Symphony 9,2,Gold
Wesley,Williamson,Buy,34,UTEP Basketball 21,3,General Admission
Mariah,Black,Buy,4,UTEP Football 4,5,VIP
Lisa,Robinson,Buy,55,UTEP Wind Symphony 11,6,Bronze
Haley,Moss,Buy,4,UTEP Football 4,4,Bronze
Tara,Rodriguez,Buy,57,Taylor Swift Live,2,Bronze
Kathleen,Small,Buy,61,Justin Bieber Live,6,Silver
Mickey,Mouse,Buy,52,UTEP Wind Symphony 8,2,General Admission
Pinocchio,Disney,Buy,44,UTEP Basketball 31,6,General Admission
Lisa,Yu,Buy,34,UTEP Basketball 21,3,General Admission
Keith,Christensen,Buy,61,Justin Bieber Live,3,Bronze
Jessica,Frye,Buy,2,UTEP Football 2,6,General Admission
Jennifer,Hernandez,Buy,4,UTEP Football 4,6,VIP
Daniel,Smith,Buy,64,Justin Timberlake Live,2,VIP
Alicia,Jenkins,Buy,18,UTEP Basketball 5,2,Bronze
Christopher,Foster,Buy,37,UTEP Basketball 24,2,Silver
Patrick,Henderson,Buy,59,Eminem Live,3,Silver
Christopher,Raymond,Buy,48,UTEP Wind Symphony 4,6,VIP
Ryan,Sullivan,Buy,66,Warped Tour Day 2,3,Gold
Craig,Oconnell,Buy,16,UTEP Basketball 3,6,General Admission
Marissa,Oconnell,Buy,34,UTEP Basketball 21,6,Bronze
Susan,Garcia,Buy,57,Taylor Swift Live,3,Bronze
Raymond,Woodward,Buy,26,UTEP Basketball 13,4,General Admission
Stitch,Disney,Buy,52,UTEP Wind Symphony 8,2,General Admission
Gary,Mckenzie,Buy,51,UTEP Wind Symphony 7,3,Gold
Travis,Mcdonald,Buy,56,UTEP Wind Symphony 12,3,VIP
Ashley,Frye,Buy,56,UTEP Wind Symphony 12,3,General Admission
Steve,Cruz,Buy,36,UTEP Basketball 23,5,VIP
Janet,Hughes,Buy,20,UTEP Basketball 7,2,Gold
Stephanie,Mcdonald,Buy,42,UTEP Basketball 29,3,VIP
Susan,Humphrey,Buy,35,UTEP Basketball 22,4,Gold
Jennifer,Schultz,Buy,49,UTEP Wind Symphony 5,2,Silver
Stephanie,Kirby,Buy,45,UTEP Wind Symphony 1,4,Silver
Ray,Huynh,Buy,12,UTEP Football 12,6,Gold
David,Harvey,Buy,30,UTEP Basketball 17,6,General Admission
Aladdin,Disney,Buy,60,Ariana Grande Live,4,VIP
Timothy,Greene,Buy,7,UTEP Football 7,5,General Admission
Richard,Sullivan,Buy,30,UTEP Basketball 17,2,General Admission
Cory,Byrd,Buy,71,UTEP Commencement 3,6,Gold
Maximiliano,Uribe,Buy,66,Warped Tour Day 2,4,VIP
Kelly,Harris,Buy,39,UTEP Basketball 26,6,Bronze
David,Brown,Buy,28,UTEP Basketball 15,2,Gold
David,Gardner,Buy,68,UTEP Commencement 1,2,General Admission
John,Blair,Buy,13,UTEP Football 13,5,VIP
Chelsea,Gallagher,Buy,45,UTEP Wind Symphony 1,3,Silver
Jasmine,Ramirez,Buy,34,UTEP Basketball 21,2,General Admission
Stacy,Maldonado,Buy,21,UTEP Basketball 8,6,Bronze
Arturo,Flores,Buy,53,UTEP Wind Symphony 9,4,General Admission
Crystal,Johnson,Buy,19,UTEP Basketball 6,3,Gold
Amanda,Shepherd,Buy,56,UTEP Wind Symphony 12,3,Silver
Gerald,Beltran,Buy,28,UTEP Basketball 15,4,Gold
Dakota,Bender,Buy,17,UTEP Basketball 4,2,VIP
Brittany,Andrews,Buy,11,UTEP Football 11,6,VIP
Ashley,Evans,Buy,69,UTEP Commencement 2,6,Silver
Robert,Park,Buy,60,Ariana Grande Live,4,General Admission
Kayla,Mahoney,Buy,64,Justin Timberlake Live,2,Bronze
Daniel,Summers,Buy,64,Justin Timberlake Live,2,Gold
Kelly,Wilson,Buy,11,UTEP Football 11,3,Bronze
Alyssa,Poole,Buy,6,UTEP Football 6,3,Bronze
Bradley,Rodriguez,Buy,66,Warped Tour Day 2,4,VIP
Douglas,Hernandez,Buy,15,UTEP Basketball 2,3,General Admission
Katherine,Mcdonald,Buy,14,UTEP Basketball 1,5,VIP
Sandra,Newton,Buy,71,UTEP Commencement 3,3,Silver
Brett,Higgins,Buy,22,UTEP Basketball 9,4,Silver
Denise,Morales,Buy,44,UTEP Basketball 31,4,General Admission
Lori,Hall,Buy,25,UTEP Basketball 12,2,Gold
Maximiliano,Uribe,Buy,14,UTEP Basketball 1,6,General Admission
Samantha,Cooper,Buy,43,UTEP Basketball 30,6,VIP
David,Thomas,Buy,67,Warped Tour Day 3,6,Bronze
Melissa,Holt,Buy,35,UTEP Basketball 22,5,VIP
Derek,Irwin,Buy,16,UTEP Basketball 3,4,Silver
Saul,Gonzalez,Buy,60,Ariana Grande Live,4,Silver
Kimberly,Johnson,Buy,56,UTEP Wind Symphony 12,6,Gold
Thomas,Clark,Buy,49,UTEP Wind Symphony 5,2,Gold
Jennifer,Davidson,Buy,40,UTEP Basketball 27,4,VIP
Kyle,Taylor,Buy,30,UTEP Basketball 17,2,Gold
Noah,Horne,Buy,39,UTEP Basketball 26,5,Gold
Bryant,Luna,Buy,42,UTEP Basketball 29,3,Silver
Timothy,Romero,Buy,56,UTEP Wind Symphony 12,6,Bronze
James,Simpson,Buy,53,UTEP Wind Symphony 9,2,Gold
Felix,Millan,Buy,46,UTEP Wind Symphony 2,6,General Admission
Kyle,Taylor,Buy,59,Eminem Live,6,VIP
Alexander,Cameron,Buy,46,UTEP Wind Symphony 2,5,Bronze
Michael,Flores,Buy,19,UTEP Basketball 6,6,General Admission
Patrick,Larsen,Buy,3,UTEP Football 3,3,Silver
Gary,Mckenzie,Buy,3,UTEP Football 3,6,VIP
Joseph,Davis,Buy,49,UTEP Wind Symphony 5,6,Gold
Logan,Palmer,Buy,11,UTEP Football 11,3,Silver
Ricky,Thompson,Buy,33,UTEP Basketball 20,3,VIP
Austin,Lewis,Buy,36,UTEP Basketball 23,5,Gold
Corey,Wilson,Buy,29,UTEP Basketball 16,2,Bronze
Menda,Dorji,Buy,9,UTEP Football 9,3,General Admission
Michelle,Jones,Buy,69,UTEP Commencement 2,3,Silver
Antonio,Edwards,Buy,50,UTEP Wind Symphony 6,5,Gold
Haley,Moss,Buy,5,UTEP Football 5,5,Silver
Theresa,Macias,Buy,28,UTEP Basketball 15,2,General Admission
Kimberly,Roberts,Buy,23,UTEP Basketball 10,6,VIP
Michelle,Jones,Buy,67,Warped Tour Day 3,5,Silver
James,Watson,Buy,7,UTEP Football 7,5,Silver
Michelle,Oliver,Buy,41,UTEP Basketball 28,2,Silver
Casey,Navarro,Buy,67,Warped Tour Day 3,3,General Admission
Joshua,Gomez,Buy,59,Eminem Live,3,Silver
Renee,Bradley,Buy,67,Warped Tour Day 3,2,Bronze
Brian,Castillo,Buy,57,Taylor Swift Live,3,Gold
Jill,Henderson,Buy,18,UTEP Basketball 5,4,General Admission
Alexander,Kelly,Buy,71,UTEP Commencement 3,6,General Admission
Patrick,Bennett,Buy,39,UTEP Basketball 26,2,Bronze
Alexandra,Simpson,Buy,36,UTEP Basketball 23,3,General Admission
John,Blevins,Buy,21,UTEP Basketball 8,4,Gold
Arim,MartinDelCampo,Buy,50,UTEP Wind Symphony 6,5,VIP
Theresa,Macias,Buy,58,Bad Bunny Live,2,General Admission
Gabriel,Sanders,Buy,63,Lady Gaga Live,4,General Admission
Barbara,Lane,Buy,56,UTEP Wind Symphony 12,5,Silver
Philip,Zamora,Buy,68,UTEP Commencement 1,3,General Admission
Linda,Rodriguez,Buy,55,UTEP Wind Symphony 11,6,Gold
Vanessa,Carson,Buy,27,UTEP Basketball 14,3,VIP
Megan,Thompson,Buy,24,UTEP Basketball 11,6,Silver
Hannah,Arias,Buy,5,UTEP Football 5,2,General Admission
Leroy,Walters,Buy,20,UTEP Basketball 7,4,Gold
Brett,Wallace,Buy,63,Lady Gaga Live,6,VIP
Nicole,Lloyd,Buy,71,UTEP Commencement 3,6,Silver
Christina,Villanueva,Buy,10,UTEP Football 10,2,General Admission
Michelle,Rivera,Buy,34,UTEP Basketball 21,2,Bronze
Christopher,Lucero,Buy,33,UTEP Basketball 20,3,General Admission
Christopher,Osborne,Buy,32,UTEP Basketball 19,6,Silver
Sarah,Mosley,Buy,47,UTEP Wind Symphony 3,5,Silver
Hunter,Moore,Buy,53,UTEP Wind Symphony 9,6,General Admission
Theresa,Obrien,Buy,47,UTEP Wind Symphony 3,4,Silver
Ryan,Peterson,Buy,7,UTEP Football 7,6,Gold
Mufassa,Disney,Buy,4,UTEP Football 4,2,General Admission
Rebecca,Fisher,Buy,45,UTEP Wind Symphony 1,5,Bronze
Daniel,Mejia,Buy,18,UTEP Basketball 5,4,VIP
Christian,Ellis,Buy,31,UTEP Basketball 18,4,General Admission
Pinocchio,Disney,Buy,16,UTEP Basketball 3,3,VIP
Todd,Brooks,Buy,68,UTEP Commencement 1,3,VIP
Allison,Cross,Buy,7,UTEP Football 7,5,Silver
Noah,Horne,Buy,41,UTEP Basketball 28,2,Gold
Mark,Gonzalez,Buy,10,UTEP Football 10,2,General Admission
Gary,Park,Buy,31,UTEP Basketball 18,6,Silver
Doris,Moore,Buy,32,UTEP Basketball 19,6,Silver
Wendy,Phillips,Buy,2,UTEP Football 2,4,Gold
Deborah,Scott,Buy,14,UTEP Basketball 1,3,Bronze
Nicholas,Smith,Buy,32,UTEP Basketball 19,2,General Admission
Lawrence,Price,Buy,12,UTEP Football 12,6,VIP
Jennifer,Davidson,Buy,13,UTEP Football 13,3,General Admission
Derek,Macias,Buy,30,UTEP Basketball 17,2,Silver
Jeremy,Morris,Buy,10,UTEP Football 10,4,Bronze
Jennifer,Davidson,Buy,2,UTEP Football 2,6,Bronze
Samuel,Harrington,Buy,5,UTEP Football 5,6,Silver
Tammy,Waters,Buy,5,UTEP Football 5,5,Gold
Christopher,Coleman,Buy,25,UTEP Basketball 12,6,Silver
Victoria,Martin,Buy,10,UTEP Football 10,2,General Admission
Scar,Lion,Buy,52,UTEP Wind Symphony 8,5,VIP
Corey,Wilson,Buy,19,UTEP Basketball 6,5,Silver
Suzanne,Kennedy,Buy,23,UTEP Basketball 10,5,Bronze
Jose,Farley,Buy,43,UTEP Basketball 30,5,General Admission
David,Hayes,Buy,17,UTEP Basketball 4,6,Gold
Amanda,Shepherd,Buy,69,UTEP Commencement 2,2,VIP
Victoria,White,Buy,58,Bad Bunny Live,5,Gold
Michael,Flores,Buy,39,UTEP Basketball 26,4,Silver
Amber,Sellers,Buy,67,Warped Tour Day 3,3,Bronze
George,Gilbert,Buy,56,UTEP Wind Symphony 12,6,Silver
Brett,Higgins,Buy,39,UTEP Basketball 26,4,Bronze
Kylie,King,Buy,33,UTEP Basketball 20,5,General Admission
Elizabeth,Jackson,Buy,36,UTEP Basketball 23,2,Gold
Daniel,Hampton,Buy,54,UTEP Wind Symphony 10,4,Bronze
Dean,Smith,Buy,43,UTEP Basketball 30,4,VIP
Robert,Kennedy,Buy,15,UTEP Basketball 2,6,Gold
Jose,Farley,Buy,40,UTEP Basketball 27,2,Silver
Mark,Lamb,Buy,56,UTEP Wind Symphony 12,6,General Admission
Thomas,King,Buy,32,UTEP Basketball 19,5,Bronze
Kevin,Swanson,Buy,54,UTEP Wind Symphony 10,6,VIP
Anita,Fletcher,Buy,53,UTEP Wind Symphony 9,2,VIP
Emily,Richardson,Buy,23,UTEP Basketball 10,6,General Admission
Jeremy,Morris,Buy,54,UTEP Wind Symphony 10,3,Bronze
Wendy,Stanton,Buy,4,UTEP Football 4,2,Silver
Alexander,Kelly,Buy,66,Warped Tour Day 2,4,Bronze
Elizabeth,Kim,Buy,10,UTEP Football 10,3,Silver
April,Turner,Buy,7,UTEP Football 7,3,General Admission
Mark,Richards,Buy,22,UTEP Basketball 9,3,VIP
Kimberly,Johnson,Buy,21,UTEP Basketball 8,4,Bronze
Joel,Arellano,Buy,42,UTEP Basketball 29,2,Gold
Deborah,Hunt,Buy,2,UTEP Football 2,5,VIP
Randy,Keller,Buy,41,UTEP Basketball 28,3,VIP
Marissa,Oconnell,Buy,15,UTEP Basketball 2,3,General Admission
Elizabeth,Castillo,Buy,49,UTEP Wind Symphony 5,5,Bronze
Jessica,Lloyd,Buy,69,UTEP Commencement 2,4,Gold
Crystal,Hayes,Buy,40,UTEP Basketball 27,5,Gold
Patrick,Bennett,Buy,19,UTEP Basketball 6,4,Silver
Katherine,Mcdonald,Buy,12,UTEP Football 12,3,Gold
Kim,Craig,Buy,49,UTEP Wind Symphony 5,2,Silver
Michelle,Sexton,Buy,50,UTEP Wind Symphony 6,5,Silver
James,Morgan,Buy,3,UTEP Football 3,3,VIP
Richard,Torres,Buy,44,UTEP Basketball 31,6,VIP
Brandon,Smith,Buy,33,UTEP Basketball 20,5,General Admission
Maria,Mitchell,Buy,69,UTEP Commencement 2,5,General Admission
Robert,Flores,Buy,64,Justin Timberlake Live,4,Gold
Ryan,Washington,Buy,67,Warped Tour Day 3,2,Bronze
Austin,Lewis,Buy,69,UTEP Commencement 2,2,Gold
Pamela,Carter,Buy,61,Justin Bieber Live,3,General Admission
Robert,Flores,Buy,9,UTEP Football 9,4,Gold
Cesar,Jones,Buy,8,UTEP Football 8,2,General Admission
Carrie,Bennett,Buy,44,UTEP Basketball 31,3,VIP
Natasha,Wheeler,Buy,29,UTEP Basketball 16,3,Silver
Brittany,Ray,Buy,5,UTEP Football 5,5,General Admission
William,Adkins,Buy,58,Bad Bunny Live,3,Bronze
Tammy,Thomas,Buy,33,UTEP Basketball 20,2,Silver
Nicholas,Jackson,Buy,22,UTEP Basketball 9,5,VIP
Ashley,Wilcox,Buy,62,The Weeknd Live,6,Gold
Lori,Hall,Buy,56,UTEP Wind Symphony 12,6,General Admission
Melissa,Rivera,Buy,49,UTEP Wind Symphony 5,5,VIP
Paul,Herman,Buy,61,Justin Bieber Live,5,Bronze
