TicketMiner Membership,Username,Password,Last Name,Concerts Purchased,Money Available,ID,First Name
true,katherinemcdonald,Fun!23,Mcdonald,0,12753.71,950,Katherine
false,chelseagallagher,Fun!23,Gallagher,0,5244.64,108,Chelsea
false,beastdisney,Fun!23,Disney,0,9670.8,20,Beast
false,nancymorgan,Fun!23,Morgan,0,6991.24,148,Nancy
false,kevinboone,Fun!23,Boone,0,9581.32,741,Kevin
false,sarahgriffin,Fun!23,Griffin,0,11001.9,682,Sarah
false,stephaniemcdonald,Fun!23,Mcdonald,0,12241.75,96,Stephanie
true,darleneshaw,Fun!23,Shaw,0,9028.21,495,Darlene
true,franciscorodriguez,Fun!23,Rodriguez,0,9768.03,82,Francisco
false,victoriawhite,Fun!23,White,0,13130.63,837,Victoria
false,melissaholt,Fun!23,Holt,0,12370.89,1006,Melissa
false,craigfleming,Fun!23,Fleming,0,7302.13,831,Craig
true,sheilalewis,Fun!23,Lewis,0,5894.19,211,Sheila
false,jermainedean,Fun!23,Dean,0,13772.67,714,Jermaine
true,christophersanford,Fun!23,Sanford,0,14038,518,Christopher
true,michaelmccormick,Fun!23,Mccormick,0,8046.89,737,Michael
false,elizabethcordova,Fun!23,Cordova,0,11513.6,356,Elizabeth
true,dereklopez,Fun!23,Lopez,0,14726.18,630,Derek
false,tamialexander,Fun!23,Alexander,0,7060.14,293,Tami
true,craigoconnell,Fun!23,Oconnell,0,5846.58,387,Craig
false,michaelparrish,Fun!23,Parrish,0,5353.53,673,Michael
true,sandranewton,Fun!23,Newton,0,6880.76,839,Sandra
true,bryanmassey,Fun!23,Massey,0,8939.23,1021,Bryan
false,plutodisney,Fun!23,Disney,0,13362.53,5,Pluto
false,michaelmorton,Fun!23,Morton,0,13526.77,520,Michael
true,josephfritz,Fun!23,Fritz,0,9621.4,823,Joseph
true,vanessacarson,Fun!23,Carson,0,14079.54,1029,Vanessa
false,alinouri,Fun!23,Nouri,0,7663.02,38,Ali
false,andysegura,Fun!23,Segura,0,14529.27,83,Andy
false,richardvargas,Fun!23,Vargas,0,11182.06,149,Richard
true,lisayu,Fun!23,Yu,0,5622.57,1022,Lisa
true,dianarivera,Fun!23,Rivera,0,6665.24,994,Diana
false,quasimododisney,Fun!23,Disney,0,9227.19,32,Quasimodo
false,teresataylor,Fun!23,Taylor,0,11336.47,788,Teresa
false,dennissmith,Fun!23,Smith,0,6090.88,744,Dennis
false,nicholassmith,Fun!23,Smith,0,10069.89,853,Nicholas
false,christinawalker,Fun!23,Walker,0,12268.88,169,Christina
false,melissaevans,Fun!23,Evans,0,13624.34,904,Melissa
true,jenniferdavidson,Fun!23,Davidson,0,12972.21,878,Jennifer
false,allisonchang,Fun!23,Chang,0,13303.25,275,Allison
false,angelacarney,Fun!23,Carney,0,11722.7,743,Angela
false,ryanwilkins,Fun!23,Wilkins,0,12314,445,Ryan
true,michelecummings,Fun!23,Cummings,0,13282.86,386,Michele
true,robertdavis,Fun!23,Davis,0,5228.02,274,Robert
true,ethansmith,Fun!23,Smith,0,6133.66,84,Ethan
true,ryanpeterson,Fun!23,Peterson,0,14476.45,1000,Ryan
false,deannacummings,Fun!23,Cummings,0,10012.95,911,Deanna
false,lisagaines,Fun!23,Gaines,0,8940.02,314,Lisa
false,williehobbs,Fun!23,Hobbs,0,5771.54,728,Willie
true,jasminedisney,Fun!23,Disney,0,9245.13,10,Jasmine
true,christinavillanueva,Fun!23,Villanueva,0,7638.31,882,Christina
false,cesarjones,Fun!23,Jones,0,9103.43,218,Cesar
true,ronaldmartinez,Fun!23,Martinez,0,5361.77,947,Ronald
true,ericaburch,Fun!23,Burch,0,9382.84,924,Erica
true,stevencabrera,Fun!23,Cabrera,0,9850.56,440,Steven
true,karldavis,Fun!23,Davis,0,5929.71,858,Karl
false,brandonflores,Fun!23,Flores,0,9938.11,658,Brandon
false,jessicafrye,Fun!23,Frye,0,8446.04,498,Jessica
true,tammythomas,Fun!23,Thomas,0,7193.44,1004,Tammy
false,jadecrawford,Fun!23,Crawford,0,7765,318,Jade
true,gloriapage,Fun!23,Page,0,13611.8,303,Gloria
true,robertflores,Fun!23,Flores,0,11828.7,956,Robert
false,douglashernandez,Fun!23,Hernandez,0,9088.99,709,Douglas
