ID, First Name, Last Name, Money Available, Events Purchased, TicketMiner Membership, Username, Password, Tickets Purchased, Transaction Count, 
497, Brittany, Nielsen, 7421.45, 4, false, brittanynielsen, Fun!23, 14, 4, 
905, Rodney, Moss, 9956.43, 1, true, rodneymoss, Fun!23, 3, 1, 
860, Paul, Harmon, 6413.53, 9, false, paulharmon, Fun!23, 39, 9, 
929, Jennifer, Schneider, 6561.57, 7, true, jenniferschneider, Fun!23, 31, 7, 
798, Stephanie, Obrien, 4004.88, 8, true, stephanieobrien, Fun!23, 32, 8, 
797, Micheal, Sanders, 6021.62, 5, true, michealsanders, Fun!23, 20, 5, 
949, Robert, Wang, 3558.44, 3, true, robertwang, Fun!23, 17, 3, 
923, Matthew, Khan, 1700.68, 6, false, matthewkhan, Fun!23, 22, 6, 
157, Melanie, Kirk, 9355.83, 7, false, melaniekirk, Fun!23, 24, 7, 
505, Danielle, Dorsey, 6079.38, 4, false, danielledorsey, Fun!23, 17, 4, 
743, Angela, Carney, 10071.88, 4, false, angelacarney, Fun!23, 19, 4, 
248, Jessica, Moore, 4711.34, 6, true, jessicamoore, Fun!23, 21, 6, 
151, Victoria, Martin, 5806.21, 12, true, victoriamartin, Fun!23, 45, 12, 
649, David, Cox, 14269.47, 6, true, davidcox, Fun!23, 23, 6, 
576, Christopher, Craig, 5609.97, 7, true, christophercraig, Fun!23, 27, 7, 
854, Laurie, Johnson, 2805.52, 6, true, lauriejohnson, Fun!23, 25, 6, 
292, Alexandra, Robinson, 8312.69, 8, true, alexandrarobinson, Fun!23, 34, 8, 
741, Kevin, Boone, 8343.71, 8, false, kevinboone, Fun!23, 32, 8, 
341, Denise, Williams, 11451.98, 5, false, denisewilliams, Fun!23, 21, 5, 
474, Doris, Mercado, 3628.78, 9, false, dorismercado, Fun!23, 38, 9, 
169, Christina, Walker, 878.78, 9, false, christinawalker, Fun!23, 35, 9, 
335, Kimberly, Garcia, 283.29, 9, true, kimberlygarcia, Fun!23, 42, 9, 
554, Martha, Perry, 9135.39, 3, true, marthaperry, Fun!23, 12, 3, 
354, Heidi, Barker, 7448.49, 7, false, heidibarker, Fun!23, 29, 7, 
965, Mary, Anderson, 7438.97, 10, false, maryanderson, Fun!23, 41, 10, 
211, Sheila, Lewis, 1186.13, 6, true, sheilalewis, Fun!23, 24, 6, 
835, Gary, Park, 32.51, 10, false, garypark, Fun!23, 37, 10, 
409, Ray, Huynh, 3522.66, 11, false, rayhuynh, Fun!23, 55, 11, 
805, Elizabeth, Castillo, 5286.03, 10, true, elizabethcastillo, Fun!23, 43, 10, 
845, Joshua, Gomez, 3868.58, 4, false, joshuagomez, Fun!23, 13, 4, 
1016, Kim, Craig, 7369.13, 9, true, kimcraig, Fun!23, 29, 9, 
541, Amy, Chase, 6755.78, 7, true, amychase, Fun!23, 30, 7, 
377, Travis, Ruiz, 3103.51, 6, true, travisruiz, Fun!23, 24, 6, 
632, Christopher, Osborne, 3295.02, 7, false, christopherosborne, Fun!23, 30, 7, 
1037, Amanda, Baker, 3885.64, 5, false, amandabaker, Fun!23, 19, 5, 
322, Lindsay, Webster, 282.96, 10, true, lindsaywebster, Fun!23, 39, 10, 
271, Tanya, Davis, 9724.02, 3, false, tanyadavis, Fun!23, 6, 3, 
423, Randy, Keller, 11449.63, 5, false, randykeller, Fun!23, 17, 5, 
935, Sharon, Gillespie, 6177.15, 7, false, sharongillespie, Fun!23, 27, 7, 
744, Dennis, Smith, 5624.86, 4, false, dennissmith, Fun!23, 17, 4, 
524, Victoria, Moses, 1596.05, 8, false, victoriamoses, Fun!23, 31, 8, 
729, Holly, Cruz, 1820.88, 7, true, hollycruz, Fun!23, 28, 7, 
479, Kelly, Bell, 6118.43, 11, false, kellybell, Fun!23, 46, 11, 
714, Jermaine, Dean, 12069.15, 9, false, jermainedean, Fun!23, 30, 9, 
623, Michelle, Walsh, 4907.94, 6, true, michellewalsh, Fun!23, 21, 6, 
286, Tammy, Martinez, 3901.29, 13, true, tammymartinez, Fun!23, 45, 13, 
747, Sandy, Blackwell, 3068.14, 5, false, sandyblackwell, Fun!23, 16, 5, 
675, William, Ortiz, 8124.29, 5, true, williamortiz, Fun!23, 17, 5, 
407, David, Soto, 2553.56, 10, true, davidsoto, Fun!23, 45, 10, 
1006, Melissa, Holt, 10478.13, 11, false, melissaholt, Fun!23, 44, 11, 
375, Dean, Smith, 1063.96, 11, true, deansmith, Fun!23, 50, 11, 
496, Gabriel, Hansen, 7808.47, 7, true, gabrielhansen, Fun!23, 31, 7, 
270, Susan, Allen, 14012.55, 2, false, susanallen, Fun!23, 9, 2, 
1011, Mikayla, Dennis, 2518.66, 10, false, mikayladennis, Fun!23, 39, 10, 
488, Amber, Sellers, 4553.21, 13, false, ambersellers, Fun!23, 50, 13, 
688, Jose, Farley, 452.01, 9, true, josefarley, Fun!23, 30, 9, 
